# chem_potential	density	num_particles	num_particles_variance
  -17.9971	0.000122716	  0.751467	  0.759565
  -13.4608	  0.156741	   959.826	   290.077
  -12.9549	  0.179011	    1096.2	   137.964
  -12.6589	  0.187129	   1145.91	   106.901
  -12.4489	  0.192004	   1175.77	   99.3011
   -12.286	  0.195563	   1197.56	   97.6752
   -12.153	  0.198371	   1214.76	   95.8054
  -12.0404	  0.200772	   1229.46	   95.4524
   -11.943	  0.202879	   1242.36	   98.0751
   -11.857	  0.204831	   1254.31	    100.99
  -11.7801	  0.206597	   1265.13	   108.874
  -11.7105	  0.208285	   1275.47	     111.7
   -11.647	  0.209903	   1285.37	   117.565
  -11.5886	  0.211495	   1295.12	   124.139
  -11.5345	   0.21302	   1304.46	   130.125
  -11.4841	  0.214544	   1313.79	   136.797
   -11.437	  0.216109	   1323.37	   148.839
  -11.3928	  0.217584	   1332.41	    156.11
   -11.351	  0.219113	   1341.77	   171.825
  -11.3116	  0.220678	   1351.35	    182.21
  -11.2741	  0.222279	   1361.16	   191.836
  -10.9782	  0.242013	      1482	   470.361
  -10.7682	  0.281064	   1721.13	   1344.42
  -10.6053	  0.338784	    2074.6	   1469.48
  -10.4722	   0.38268	    2343.4	   938.051
  -10.3597	  0.413767	   2533.76	   1375.16
  -10.2622	  0.468469	   2868.74	   4235.61
  -10.1763	  0.539829	   3305.72	   5873.82
  -10.0994	  0.824039	   5046.13	   297.019
  -10.0298	  0.821191	   5028.68	   224.856
  -9.96627	  0.833601	   5104.68	   281.482
  -9.90784	  0.830377	   5084.94	   249.644
  -9.85375	  0.839429	   5140.37	    243.46
  -9.80339	  0.842801	   5161.02	   662.224
  -9.75628	  0.839327	   5139.74	   210.729
  -9.71203	  0.844089	    5168.9	   223.575
  -9.67031	  0.845241	   5175.96	   205.464
  -9.63084	  0.846551	   5183.98	   189.384
   -9.5934	   0.85909	   5260.77	   253.788
